et,at,epx,epy,epz,eox,eoy,eoz,eow,apx,apy,apz,aox,aoy,aoz,aow
1385798595.100555,1385798595.100555,0.150358,-0.051200,2.019480,0.003669,0.044895,0.002861,0.998981,0.027059,-0.027327,0.986272,0.002325,0.023173,0.001025,0.999728
1385798595.308051,1385798595.308051,0.477698,-0.111892,4.009684,0.007224,0.091551,0.002508,0.995771,0.287891,-0.056425,3.235723,0.005949,0.069071,-0.000041,0.997594
1385798595.515653,1385798595.515653,0.965129,-0.179259,5.864052,0.007752,0.136419,0.004747,0.990610,0.732188,-0.129992,5.318895,0.006945,0.115356,0.002876,0.993296
1385798595.723136,1385798595.723136,1.652226,-0.254681,7.741118,0.011234,0.181916,0.008503,0.983213,1.383596,-0.192174,7.336882,0.009820,0.160531,0.004790,0.986970
1385798595.826918,1385798595.826918,2.035232,-0.290457,8.610548,0.011635,0.203610,0.008670,0.978944,1.683864,-0.213779,8.145586,0.010657,0.183356,0.004517,0.982978
1385798596.034448,1385798596.034448,2.961619,-0.369304,10.371690,0.010978,0.249964,0.009807,0.968143,2.742327,-0.284462,10.492478,0.010227,0.229794,0.003883,0.973178
1385798596.345699,1385798596.345699,4.616740,-0.478245,12.767380,0.011843,0.317687,0.012516,0.948039,5.527034,-0.544724,14.881916,0.011517,0.297388,0.008512,0.954649
1385798596.449340,1385798596.449340,5.277620,-0.515016,13.553230,0.012364,0.340967,0.012555,0.939910,6.109959,-0.575122,15.592621,0.013292,0.318228,0.011204,0.947855
1385798596.656802,1385798596.656802,6.578160,-0.576837,14.884680,0.013174,0.382778,0.015281,0.923620,7.884961,-0.655828,17.591835,0.014194,0.361431,0.013860,0.932188
1385798596.864288,1385798596.864288,8.052232,-0.636264,16.144330,0.015098,0.426507,0.016986,0.904199,9.635682,-0.757527,19.368183,0.014849,0.406429,0.012459,0.913477
1385798597.071644,1385798597.071644,9.631009,-0.694676,17.251580,0.016926,0.468587,0.017790,0.883076,11.892085,-0.819300,21.068860,0.016996,0.448377,0.012363,0.893597
1385798597.175393,1385798597.175393,10.417840,-0.720863,17.720790,0.019887,0.488115,0.019230,0.872341,12.624538,-0.838234,21.493120,0.021817,0.467177,0.016601,0.883739
1385798597.382614,1385798597.382614,12.143850,-0.771333,18.602650,0.021288,0.526946,0.021905,0.849350,14.797044,-0.904685,22.721910,0.023747,0.505153,0.019784,0.862476
1385798597.486352,1385798597.486352,12.996940,-0.796740,18.968750,0.021873,0.543769,0.023547,0.838619,15.573846,-0.929308,23.084245,0.025547,0.521977,0.022889,0.852269
1385798597.693585,1385798597.693585,14.841400,-0.840360,19.648650,0.023194,0.575249,0.024645,0.817278,17.607922,-0.987044,23.951617,0.026105,0.552932,0.023613,0.832482
1385798597.901076,1385798597.901076,16.764910,-0.879013,20.208380,0.022354,0.603763,0.026835,0.796398,20.220501,-1.044668,24.994235,0.024750,0.582493,0.023784,0.812110
1385798598.108299,1385798598.108299,18.737820,-0.908232,20.647630,0.022544,0.630198,0.025283,0.775695,22.882321,-1.086810,25.783571,0.024358,0.609214,0.021273,0.792346
1385798598.212039,1385798598.212039,19.701530,-0.921518,20.811500,0.022924,0.641876,0.026057,0.766023,23.732180,-1.101698,25.979585,0.025042,0.621305,0.022207,0.782853
1385798598.419516,1385798598.419516,21.777110,-0.943648,21.070790,0.021731,0.665675,0.027328,0.745425,25.968368,-1.125502,26.467330,0.023209,0.646084,0.021288,0.762617
1385798598.626889,1385798598.626889,23.916920,-0.952385,21.209200,0.022536,0.687049,0.028974,0.725683,28.205809,-1.145308,26.746417,0.023690,0.667618,0.022748,0.743780
1385798598.834255,1385798598.834255,26.009640,-0.952240,21.232560,0.025276,0.703760,0.032146,0.709260,30.209743,-1.162950,26.888614,0.027141,0.685036,0.026397,0.727525
1385798599.041590,1385798599.041590,28.257550,-0.946987,21.160140,0.028287,0.717381,0.036784,0.695134,32.031780,-1.186288,26.927174,0.030544,0.698447,0.031603,0.714311
1385798599.248939,1385798599.248939,30.545830,-0.937636,21.016600,0.029761,0.727899,0.039565,0.683895,34.171367,-1.199822,26.955573,0.030366,0.709675,0.032751,0.703113
1385798599.352574,1385798599.352574,31.645110,-0.931231,20.929410,0.029274,0.732315,0.040277,0.679143,35.056854,-1.201364,26.911162,0.031890,0.713495,0.035175,0.699050
1385798599.559912,1385798599.559912,33.974890,-0.913119,20.703820,0.029846,0.740543,0.039711,0.670170,37.599190,-1.212986,26.833604,0.032416,0.721927,0.034336,0.690356
1385798599.767284,1385798599.767284,36.372130,-0.890359,20.416640,0.032365,0.747377,0.038288,0.662506,39.740762,-1.211254,26.684961,0.035189,0.728277,0.033256,0.683571
1385798599.870932,1385798599.870932,37.546610,-0.879794,20.263470,0.032600,0.749849,0.037941,0.659715,40.621207,-1.210553,26.621216,0.035771,0.730769,0.033111,0.680882
1385798600.078234,1385798599.974621,40.078190,-0.857903,19.910690,0.033346,0.753588,0.037528,0.655427,41.543702,-1.213182,26.542962,0.036313,0.732495,0.033303,0.678987
1385798600.492991,1385798600.181908,45.274640,-0.820954,19.121980,0.033009,0.758161,0.037954,0.650125,43.691545,-1.217621,26.361258,0.038117,0.735538,0.032740,0.675617
1385798600.700305,1385798600.596606,48.063170,-0.792685,18.676960,0.033615,0.759532,0.039022,0.648428,50.138371,-1.233538,25.726778,0.037848,0.739062,0.034385,0.671694
1385798600.803920,1385798600.803920,49.419810,-0.779096,18.458070,0.033664,0.759871,0.038730,0.648045,53.622121,-1.227420,25.340491,0.040079,0.739495,0.035861,0.671011
1385798601.011412,1385798601.011412,52.331720,-0.751094,17.982930,0.034650,0.760074,0.038838,0.647749,56.335110,-1.236167,25.038629,0.041611,0.739205,0.036214,0.671217
1385798601.218634,1385798601.218634,55.327200,-0.730379,17.498580,0.035209,0.759517,0.038459,0.648395,61.237019,-1.249851,24.556024,0.043640,0.738101,0.036814,0.672270
1385798601.322245,1385798601.322245,56.785360,-0.721830,17.267050,0.034541,0.759038,0.038545,0.648986,62.383101,-1.260352,24.441837,0.043473,0.737350,0.037306,0.673078
1385798601.633364,1385798601.633364,61.429660,-0.692600,16.537960,0.035985,0.757960,0.038328,0.650179,67.896835,-1.299012,23.898952,0.045005,0.735954,0.037153,0.674511
1385798601.737062,1385798601.737062,63.123260,-0.684566,16.276810,0.035832,0.757602,0.038216,0.650611,69.110491,-1.311223,23.807727,0.043671,0.736022,0.035873,0.674595
1385798601.944436,1385798601.944436,66.254590,-0.668979,15.792390,0.035698,0.756957,0.040614,0.651223,72.131585,-1.336257,23.579302,0.043289,0.735658,0.038025,0.674898
1385798602.151888,1385798602.151888,69.592480,-0.652474,15.281010,0.037991,0.756322,0.040998,0.651808,75.792021,-1.377566,23.253760,0.045098,0.735061,0.037983,0.675432
1385798602.359175,1385798602.359175,72.994320,-0.644059,14.769160,0.037655,0.756032,0.041114,0.652155,79.336208,-1.396306,22.929472,0.046030,0.734402,0.038743,0.676043
1385798602.566537,1385798602.566537,76.465420,-0.629457,14.249410,0.037668,0.755776,0.042036,0.652393,82.650738,-1.442850,22.660694,0.046433,0.734119,0.039860,0.676258
1385798602.670251,1385798602.670251,78.140230,-0.622416,13.999470,0.037948,0.755761,0.042216,0.652382,84.111695,-1.463900,22.559886,0.046385,0.734399,0.040106,0.675942
1385798602.877661,1385798602.877661,81.697240,-0.610198,13.468300,0.038478,0.755917,0.041538,0.652214,88.926241,-1.506578,22.135469,0.048315,0.734240,0.040536,0.675954
1385798603.085083,1385798603.085083,85.138610,-0.605383,12.950650,0.038257,0.756706,0.040540,0.651375,94.591668,-1.579748,21.746694,0.049399,0.734904,0.040404,0.675161
1385798603.292511,1385798603.292511,88.813020,-0.598570,12.391030,0.037524,0.757369,0.040636,0.650640,100.022183,-1.633385,21.361657,0.046170,0.736799,0.037759,0.673476
1385798603.396200,1385798603.396200,90.586130,-0.593286,12.120620,0.036289,0.757526,0.040049,0.650563,101.540006,-1.656660,21.232052,0.046135,0.736889,0.038289,0.673350
1385798603.603663,1385798603.603663,94.347900,-0.580152,11.532730,0.036601,0.758914,0.038684,0.649010,106.172974,-1.725996,20.868074,0.046696,0.738514,0.037654,0.671565
1385798603.811072,1385798603.811072,98.162420,-0.571045,10.913150,0.035804,0.761756,0.038482,0.645729,111.695566,-1.766747,20.230889,0.047611,0.740388,0.038403,0.669391
1385798604.018513,1385798604.018513,102.012900,-0.568230,10.253170,0.034661,0.764984,0.037390,0.642028,116.219754,-1.826047,19.850551,0.046708,0.743928,0.037349,0.665579
1385798604.122113,1385798604.122113,103.858100,-0.566627,9.920917,0.035183,0.766466,0.037175,0.640242,117.927664,-1.849974,19.647971,0.047768,0.745209,0.037182,0.664078
1385798604.329472,1385798604.329472,107.761900,-0.573184,9.189826,0.035416,0.769636,0.035851,0.636491,122.476880,-1.940072,19.099645,0.048063,0.748324,0.036622,0.660576
1385798604.536821,1385798604.536821,111.707500,-0.577806,8.417470,0.033515,0.773092,0.035000,0.632440,127.391040,-2.026834,18.619114,0.048557,0.752410,0.037821,0.655814
1385798604.744181,1385798604.744181,115.493600,-0.575239,7.632470,0.032712,0.776547,0.035235,0.628222,131.524105,-2.073949,18.021969,0.050860,0.755725,0.040593,0.651648
1385798604.951415,1385798604.951415,119.495000,-0.570660,6.753003,0.033405,0.780198,0.034602,0.623680,137.626401,-2.158976,16.997394,0.055545,0.758791,0.043321,0.647514
1385798605.055235,1385798605.055235,121.411500,-0.569464,6.312101,0.033479,0.782013,0.034933,0.621381,139.259477,-2.170041,16.706397,0.058137,0.760047,0.045597,0.645654
1385798605.262505,1385798605.262505,125.455100,-0.565759,5.350713,0.033082,0.785518,0.034292,0.617002,145.415986,-2.256167,15.751572,0.055808,0.763992,0.043273,0.641349
1385798605.366295,1385798605.366295,127.584100,-0.564088,4.827037,0.032684,0.787275,0.033858,0.614804,147.672597,-2.277228,15.392356,0.056892,0.765616,0.043620,0.639290
1385798605.573765,1385798605.573765,131.472900,-0.554791,3.831331,0.033228,0.789725,0.035821,0.611512,154.451024,-2.356292,14.146121,0.063244,0.767355,0.050368,0.636105
1385798605.781345,1385798605.781345,135.581000,-0.541414,2.743391,0.034254,0.791844,0.035982,0.608700,158.940811,-2.434161,13.339663,0.063238,0.770021,0.050335,0.632878
1385798606.092615,1385798605.885065,141.699900,-0.523674,1.073069,0.033283,0.795619,0.034435,0.603901,160.751331,-2.446131,13.009442,0.063647,0.770950,0.050506,0.631692
1385798606.300045,1385798606.403535,145.879900,-0.511891,-0.116635,0.032949,0.798499,0.034314,0.600114,160.387157,-2.395598,13.074423,0.051382,0.779530,0.051164,0.622154
1385798606.610985,1385798606.610985,152.094800,-0.495801,-1.965190,0.032426,0.802638,0.034098,0.594608,165.322623,-2.325962,11.929219,0.051793,0.782014,0.051796,0.618941
1385798606.818025,1385798606.818025,156.331900,-0.481295,-3.281431,0.033039,0.805186,0.034659,0.591087,170.891891,-2.276286,10.535173,0.051156,0.784707,0.051533,0.615599
1385798607.025105,1385798607.025105,160.385800,-0.467347,-4.574985,0.034158,0.807377,0.033707,0.588080,175.568449,-2.223637,9.379199,0.053558,0.786682,0.051983,0.612830
1385798607.128915,1385798607.128915,162.624900,-0.461819,-5.303785,0.034516,0.808491,0.033806,0.586521,177.303455,-2.213783,8.960778,0.053940,0.787890,0.051964,0.611244
1385798607.336195,1385798607.336195,166.917800,-0.455859,-6.727674,0.034616,0.810668,0.033400,0.583527,180.849646,-2.184931,8.129084,0.057057,0.789450,0.054256,0.608744
1385798607.543555,1385798607.543555,171.027300,-0.448437,-8.126670,0.034961,0.812957,0.034099,0.580272,186.773532,-2.149532,6.585881,0.059593,0.791485,0.056525,0.605645
1385798607.647175,1385798607.647175,173.294800,-0.443037,-8.916474,0.035977,0.813967,0.034831,0.578749,188.663540,-2.136853,6.061957,0.061556,0.792043,0.058587,0.604521
1385798607.854415,1385798607.854415,177.436300,-0.428134,-10.377700,0.035733,0.815544,0.035675,0.576488,193.730273,-2.085193,4.813080,0.061434,0.794321,0.059257,0.601472
1385798608.061755,1385798608.061755,181.805800,-0.411448,-11.944040,0.035547,0.817396,0.034151,0.573964,198.490032,-2.034993,3.379539,0.063375,0.795595,0.059203,0.599590
1385798608.165375,1385798608.165375,183.894000,-0.405696,-12.704010,0.035916,0.818382,0.033570,0.572567,200.400457,-2.016011,2.844627,0.064138,0.796710,0.058578,0.598087
1385798608.372735,1385798608.372735,188.294200,-0.407289,-14.331300,0.035812,0.820485,0.031216,0.569690,206.504630,-1.918516,1.192242,0.068332,0.798369,0.059702,0.595292
1385798608.579965,1385798608.579965,192.716600,-0.411287,-16.009120,0.035329,0.822733,0.031862,0.566434,211.877963,-1.888410,-0.422467,0.068479,0.800459,0.060801,0.592351
1385798608.683695,1385798608.683695,194.828600,-0.411102,-16.823520,0.034964,0.823813,0.032136,0.564868,213.717388,-1.874698,-0.992068,0.069459,0.800993,0.062093,0.591380
1385798608.891415,1385798608.891415,199.270300,-0.408318,-18.565980,0.034726,0.826080,0.031902,0.561577,218.574534,-1.842453,-2.475607,0.069423,0.803374,0.062386,0.588114
1385798609.098885,1385798609.098885,203.716100,-0.410954,-20.350010,0.034518,0.828239,0.031330,0.558432,224.871811,-1.781432,-4.429379,0.072964,0.804959,0.064342,0.585302
1385798609.202165,1385798609.202165,205.833700,-0.414046,-21.214680,0.034966,0.829048,0.031556,0.557190,226.781886,-1.758406,-5.040829,0.073800,0.805641,0.064745,0.584212
1385798609.409505,1385798609.409505,210.286100,-0.415278,-23.066940,0.035509,0.830590,0.032774,0.554784,231.859424,-1.677843,-6.721652,0.077215,0.806428,0.068662,0.582235
1385798609.616645,1385798609.616645,214.741300,-0.411945,-24.948340,0.036428,0.832120,0.032743,0.552428,237.624758,-1.597525,-8.849036,0.082816,0.806225,0.072065,0.581334
1385798609.720355,1385798609.720355,216.863800,-0.413625,-25.854130,0.036238,0.832931,0.032427,0.551236,239.450070,-1.577396,-9.455861,0.083314,0.806818,0.072278,0.580412
1385798609.927815,1385798609.927815,221.319700,-0.423206,-27.776730,0.036585,0.834668,0.031385,0.548640,245.301013,-1.503080,-11.561268,0.087434,0.807200,0.073972,0.579061
1385798610.135145,1385798610.135145,225.561100,-0.440500,-29.633810,0.036216,0.836256,0.030449,0.546294,249.737010,-1.436649,-13.184865,0.090481,0.807637,0.075307,0.577810
1385798610.342465,1385798610.342465,230.009000,-0.457270,-31.619710,0.036487,0.837742,0.031912,0.543910,253.827884,-1.380049,-14.791602,0.093950,0.807138,0.079303,0.577419
1385798610.446035,1385798610.446035,232.335900,-0.459055,-32.668650,0.035914,0.838749,0.031945,0.542392,256.181412,-1.346266,-15.539794,0.093505,0.808280,0.078914,0.575946
1385798610.653385,1385798610.653385,236.560300,-0.463480,-34.595200,0.034978,0.840634,0.030968,0.539585,259.930935,-1.289924,-16.822404,0.091945,0.810538,0.077429,0.573219
1385798610.860745,1385798610.860745,240.985000,-0.467473,-36.649800,0.034109,0.842748,0.030769,0.536345,264.114466,-1.258580,-18.255930,0.089574,0.813383,0.076336,0.569699
1385798610.964365,1385798610.964365,243.084900,-0.468944,-37.639620,0.033673,0.843790,0.030711,0.534735,266.455843,-1.214427,-19.079606,0.088197,0.814863,0.075471,0.567912
1385798611.171725,1385798611.171725,247.476700,-0.470820,-39.741090,0.033095,0.846196,0.030167,0.530987,270.684795,-1.174813,-20.574938,0.088037,0.817411,0.075843,0.564213
1385798611.379175,1385798611.379175,251.846200,-0.472326,-41.883500,0.033525,0.848388,0.030066,0.527457,275.078918,-1.102708,-22.171861,0.089608,0.819527,0.076553,0.560791
1385798611.586345,1385798611.586345,256.205700,-0.469454,-44.060550,0.033087,0.850579,0.029547,0.523974,279.728149,-0.918972,-24.235608,0.087002,0.821578,0.074108,0.558523
1385798611.689925,1385798611.689925,258.281900,-0.466299,-45.110820,0.032959,0.851604,0.029628,0.522308,282.076221,-0.889147,-25.160236,0.087676,0.822622,0.074945,0.556766
1385798611.897285,1385798611.897285,262.630800,-0.456711,-47.346780,0.034078,0.853658,0.029867,0.518859,286.735281,-0.739457,-27.210380,0.090422,0.823376,0.076119,0.555052
1385798612.105225,1385798612.105225,266.767000,-0.452813,-49.513970,0.035645,0.855360,0.030171,0.515926,291.822978,-0.632832,-29.383901,0.093329,0.823968,0.077581,0.553486
1385798612.311915,1385798612.311915,271.114800,-0.446015,-51.837160,0.038027,0.857002,0.030035,0.513030,296.133654,-0.558149,-31.235283,0.098019,0.824294,0.079289,0.551947
1385798612.415705,1385798612.415705,273.400600,-0.441215,-53.075830,0.038490,0.857867,0.030154,0.511540,298.253579,-0.495027,-32.115006,0.098285,0.825181,0.079115,0.550597
1385798612.622985,1385798612.622985,277.573000,-0.428750,-55.359710,0.038644,0.859706,0.029597,0.508465,303.396326,-0.409415,-34.297012,0.099140,0.826692,0.079572,0.548105
1385798612.830785,1385798612.830785,281.974800,-0.421121,-57.807460,0.038951,0.861661,0.029011,0.505154,309.590813,-0.250872,-36.898769,0.103331,0.827237,0.081233,0.546262
1385798612.933985,1385798612.933985,284.079600,-0.420196,-58.989250,0.038390,0.862468,0.028348,0.503857,311.475328,-0.188251,-37.711620,0.104905,0.827399,0.081297,0.545708
1385798613.141185,1385798613.141185,288.518200,-0.415348,-61.516790,0.039219,0.863820,0.029721,0.501392,317.392892,-0.055786,-40.499055,0.107552,0.827024,0.084141,0.545330
1385798613.348635,1385798613.348635,292.983400,-0.401647,-64.088730,0.039336,0.865050,0.030221,0.499228,322.279819,-0.074414,-42.189991,0.113752,0.827367,0.089348,0.542716
