et,at,epx,epy,epz,eox,eoy,eoz,eow,apx,apy,apz,aox,aoy,aoz,aow
1311878194.259036,1311878194.274451,3.448000,-1.614000,0.000000,-0.000000,0.000000,0.992546,-0.121869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1311878194.367128,1311878194.406574,3.448000,-1.614000,0.000000,-0.000000,0.000000,0.992546,-0.121869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1311878194.467841,1311878194.474341,3.448000,-1.614000,0.000000,-0.000000,0.000000,0.992546,-0.121869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1311878194.570535,1311878194.538257,3.448000,-1.614000,0.000000,-0.000000,0.000000,0.992546,-0.121869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1311878194.668025,1311878194.638184,3.448000,-1.614000,0.000000,-0.000000,0.000000,0.993572,-0.113203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1311878194.769333,1311878194.706671,3.448000,-1.614000,0.000000,-0.000000,0.000000,0.993572,-0.113203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1311878194.859981,1311878194.838267,3.448000,-1.614000,0.000000,-0.000000,0.000000,0.994522,-0.104528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1311878194.968423,1311878194.906162,3.448000,-1.614000,0.000000,-0.000000,0.000000,0.995396,-0.095846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1311878195.067250,1311878194.974214,3.448000,-1.614000,0.000000,-0.000000,0.000000,0.996195,-0.087156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1311878195.158958,1311878195.138441,3.448000,-1.614000,0.000000,-0.000000,0.000000,0.996917,-0.078459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1311878195.259996,1311878195.206448,3.448000,-1.614000,0.000000,-0.000000,0.000000,0.998135,-0.061049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1311878195.359694,1311878195.338213,3.448000,-1.614000,0.000000,-0.000000,0.000000,0.998630,-0.052336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1311878195.458713,1311878195.406029,3.448000,-1.614000,0.000000,-0.000000,0.000000,0.999391,-0.034899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
